"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Stamp Duty Reserve Tax (SDRT)","437798150","437789530","0.05","","","","Providing/reporting information","http://www.hmrc.gov.uk/sdrt/intro/basics.htm","Stamp Duty Reserve Tax (SDRT) is paid on electronic 'paperless' share transactions, and most shares are bought and sold this way. Transactions included are share purchase submissions and ameded submissions. (When you buy shares using a paper stock transfer form you pay Stamp Duty rather than SDRT.)","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Stamp Duty Reserve Tax (SDRT)&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Stamp Duty Reserve Tax (SDRT) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Payments made (banking)","182042037","171687532","0.11","","","","Making a payment (taxes and fines)","","Payments made (banking) includes payments issued by HMRC.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Payments made (banking)&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Payments made (banking) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Local government","Local Govt","Local government","","Other service areas","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Customs","97703808","96191696","0.18","","","","Providing/reporting information","","Customs transactions are submitted through a number of services, including: Customs Handling of Import Export Freight (CHIEF), Import Control System (ICS), National Export System (NES), National Transit, and Excise Movement Control Service (EMCS).","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Customs&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Customs service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Pay As You Earn (PAYE)","97420705","72503531","2.89","","","","Providing/reporting information","http://www.hmrc.gov.uk/paye/index.htm","Pay As You Earn (PAYE) including EDI is the amount of income tax collected by employers on behalf of the government from employees. Transactions include form submissions, amended submissions and registrations.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Pay As You Earn (PAYE)&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Pay As You Earn (PAYE) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Local government","Local Govt","Local government","","Libraries","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Payments received (banking)","59794371","51323504","0.27","","","","Making a payment (taxes and fines)","","Payments received (banking) includes payments made to HMRC.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for Payments received (banking)&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the Payments received (banking) service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Local government","Local Govt","Local government","","Rubbish and recycling","","","","","","","","","","","","",""
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Vehicle excise duty (vehicle tax)","46012000","23396000","1.28","","","","Making a payment (taxes and fines)","https://www.taxdisc.direct.gov.uk/EvlPortalApp/app/home/intro?skin=directgov","This is the application and issue of a Vehicle Excise Duty (or Tax) disc for every vehicle that is used on public roads within Great Britain. Tax discs can be issued for 6 or 12 months and will vary in applicable duty. <br>Applications can currently be made online, via telephone, at DVLA Local Offices or at Licensing Post Offices.","The relicensing costs are derived from the electronic vehicle licensing (EVL) model, which is a marginal costing model.  The unit costs are built from the specific standard postage, stationery, staff, agent fees and other costs which are incurred in processing one relicensing transaction","<div class='application-notice help-notice'><p>Please contact <a href="mailto:Alan.Rider@dft.gsi.gov.uk">Alan Rider</a> about Q1 2013 updates which have not been provided for this service.</p></div>","Citizen (mainstream)","Fiscal"
"Local government","Local Govt","Local government","","Leisure services","","","","","","","","","","","","",""
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Jobsearch reviews (signing on)","38950000","0","7.0","38830000","0","7.0","Requesting information","https://www.gov.uk/moving-from-benefits-to-work","To keep getting Jobseeker's Allowance (JSA) or National Insurance (NI) contribution credits, claimants normally have to attend a Jobcentre every two weeks to 'sign on'. Part of this process is designed to ensure they have been looking for work by reviewing their jobsearch activity. (The benefit aspect of the service is covered under 'JSA: claims maintained'.)","Costs cover arranging reviews, talking with claimants about what they have done to look for work, identifying any additional support needed, referring to vacancies, referring to Advisers, and maintaining the individual's jobsearch record. The costs exclude any action arising during the review that relates to benefit, such as taking signatures or a change in circumstances; these are covered under 'JSA: claims maintained'.<br>The costs are for the financial year 2011/12. They are aggregated and averaged to give a cost per intervention and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual number of jobsearch reviews undertaken in 2012.<br>Not all reviews are for people claiming JSA. Jobsearch reviews are also provided for people attending in support of their claim for NI credits or contributions only.","Citizen (challenged)","Fiscal"
"Local government","Local Govt","Local government","","Jobs","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Council tax","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Planning","","","","","","","","","","","","",""
"Local government","Local Govt","Local government","","Housing","","","","","","","","","","","","",""
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","VAT","23512004","11169873","1.37","","","","Providing/reporting information","","Value added tax (VAT) is charged on most goods and services that VAT-registered businesses provide in the UK. Transactions include declaration form submissions, amended submissions and registrations.","1. Transaction and cost numbers have been collected using 2011/12 outturn data. We expect changing volumes and investment and efficiencies already in train to affect this baseline. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","<div class='application-notice help-notice'><p>Make a <a href="https://www.whatdotheyknow.com/new/hmrc?title=Service data for VAT&body=Dear HM Revenue and Customs,%0A%0APlease provide the following data for the VAT service, covering the period January 2012 to December 2012:%0A%0A - annual volume of transactions%0A - cost per transaction (please follow Treasury guidelines on what to take into account in measuring service costs (http://www.hm-treasury.gov.uk/d/mpm_annex6.2.pdf) should be followed%0A - annual volume of transactions completed digitally%0A%0A%0AYours faithfully,%0A%0A&tags=GDS transactional services costs">Freedom of information (FOI) request</a> for the Q1 2013 data which has not been provided for this service.</p></div>","Business","Fiscal"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Adviser interventions (jobsearch advice)","23290000","0","53.0","23390000","0","53.0","Requesting information","https://www.gov.uk/moving-from-benefits-to-work","Jobcentre Plus Advisers provide a range of interventions providing information, advice and support to jobseekers, including referral to any of the Labour Market programmes.","Advisers provide support not just to clients on JSA, but also those in receipt of other benefits like ESA and Income Support. Interventions may last from a few minutes to over an hour. Costs cover arranging appointments, issuing invitations, conducting the interviews, referring to vacancies, following up and maintaining the person's labour market record. The costs also include advising about and referring to Labour Market programmes  such as the Work Programme, Access to Work and training programmes, but not the cost of the programmes themselves.<br>The costs are for the financial year 2011/12. They are aggregated and averaged to give a cost per intervention and this is presented on a fully absorbed basis but excluding investment (change) costs.","The number of transactions given is the annual number of advisory interviews of any type undertaken in 2012.","Citizen (challenged)","Fiscal"
"Local government","Local Govt","Local government","","Travel and buses","","","","","","","","","","","","",""
